x,y
0,0.45
0,0.45
0,0.45
0,0.45
0,0.45
0,0.45
0.6,0.45
0.6,0.45
0.6,0.45
0.6,0.45
0.6,0.45
1.2,0.45
1.2,0.45
0.6,0.45
1.2,0.45
1.2,0.45
1.2,0.45
1.8,0.45
1.8,0.45
2.4,0.9
3,0.45
2.4,0.9
2.4,0.9
2.4,0.9
2.4,0.9
3,0.9
3,0.9
3,0.9
3.6,0.9
3.6,0.9
3.6,0.9
3.6,0.9
3.6,0.9
3.6,0.9
3.6,0.9
3.6,0.9
4.2,0.9
4.2,0.9
4.8,0.9
4.8,0.9
4.8,0.9
5.4,1.35
5.4,1.35
4.8,0.9
4.8,0.9
6,0.9
6,0.9
5.4,1.35
6.6,1.35
6.6,0.9
6.6,0.9
6.6,1.35
6.6,1.35
7.2,1.35
7.2,1.35
7.2,1.35
6.6,1.35
7.2,1.8
7.2,1.8
7.2,1.35
7.2,1.35
7.2,1.35
7.2,1.35
7.2,1.35


